Source	Target	Reference	edgeType	aPDL1TILScores	PDL1plusPDL1minusScores	Tim3Plus2Tim3MinusScores	TILN2CMVScores	TILN2naiveScores	TILN2EBVScores	TILN2tumorPBMCScores	acuteD5.2NScores	acuteD7.2NScores	T.D5.2NScores	T.D7.2NScores	T.D14.2NScores	T.D21.2NScores
CD3E	JUNB	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.5	0.875	0.667	0.633	0.703	0.443	0.59	0.556	0.778	0.778	0.556	0.444	0.667
CD3E	JUND	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.667	0.938	0.333	0.714	0.308	0.271	0.495	0.667	0.889	0.333	0.778	0.667	0.778
CD3E	NFATC1	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0.5	0.812	0.556	0.51	0.67	0.629	0.714	0.556	0.667	0.667	0.667	1	0.556
CD3E	NFATC2	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0.5	0.5	0.667	0	0	0	0	0.222	0.222	0.556	0.889	0.889	0.667
CD3E	NFKB1	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.5	0.688	0.778	0.49	0.209	0.457	0.448	0	0.222	0.444	0.333	0	0.778
CD3E	NFKB2	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.5	0.625	0.444	0	0	0	0	0.889	0.889	0.778	0.556	0	0.667
CD3E	REL	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.5	0.812	0.778	0.551	0.484	0.4	0.429	0.556	0.556	0.444	0.333	0.111	0.556
CD3E	RELA	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.5	0.875	0.667	0.449	0.22	0.229	0.314	0.889	0.778	0.667	0.667	1	0.444
CD3E	RELB	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.5	0.812	0.667	0.51	0.626	0.571	0.59	0.778	0.778	0.556	0.667	0.111	0.667
CD3E	ZAP70	Muller and Rao, 2008, NFAT, immunity and cancer: a transcription factor comes of age	promotes	0.833	0.625	0.667	0.51	0.626	0.671	0.581	0.333	0.556	0.444	0.333	0	0.778
CD3G	AKT1	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.333	0.625	0.444	0.653	0.681	0.671	0.629	0	0.222	0.556	0.222	0	1
CD3G	AKT2	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.833	0.75	0.556	0.653	0.67	0.657	0.733	0.444	0.778	0.667	0.778	1	0.111
CD3G	AKT3	Genot et al, The T-Cell Receptor Regulates Akt (Protein Kinase B) via a Pathway Involving Rac1 and Phosphatidylinositide 3-Kinase	promotes	0.833	0.625	0.444	0.51	0.385	0.4	0.429	1	0.778	0.444	0.556	0.889	0.778
CD3G	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0.167	0.625	0.556	0.592	0.538	0.443	0.39	0.222	0.556	0.111	0.444	0.667	0.222
CD3G	FOS	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.5	0.688	0.111	0.531	0.418	0.357	0.533	1	0.889	0.556	0.222	0.222	0.778
CD3G	JUN	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.333	0.812	0.556	0.592	0.67	0.557	0.457	1	0.889	0.556	0.111	0.333	0.778
CD3G	JUNB	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.333	0.812	0.556	0.551	0.484	0.357	0.486	0.556	0.444	0.889	0.444	0.444	0.667
CD3G	JUND	Ricon & Flavell, AP-1 transcriptional activity requires both T-cell receptor-mediated and co-stimulatory signals in primary T lymphocytes	promotes	0.5	1	0.444	0.592	0.451	0.429	0.619	0.667	0.556	0.333	0.667	0.667	0.778
CD3G	NFATC1	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0.333	0.75	0.667	0.388	0.615	0.643	0.41	0.778	0.556	0.444	0.778	1	0.333
CD3G	NFATC2	Macian, 2006, NFAT PROTEINS: KEY REGULATORS OF T?CELL DEVELOPMENT AND FUNCTION	promotes	0.167	0.688	0.333	0	0	0	0	0	0.222	0.333	0.778	0.889	0.889
CD3G	NFKB1	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.167	0.562	0.444	0.469	0.385	0.443	0.238	0.222	0.222	0.556	0.222	0	1
CD3G	NFKB2	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.333	0.5	0.778	0	0	0	0	0.889	0.667	0.556	0.444	0	0.667
CD3G	REL	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.333	1	0.444	0.388	0.418	0.5	0.505	0.778	0.667	0.556	0.222	0.111	0.778
CD3G	RELA	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.333	0.688	0.333	0.408	0.363	0.286	0.543	0.667	0.556	0.444	0.778	1	0.222
CD3G	RELB	Thaker et al, TCR and CD28 activate the transcription factor NF-?B in T-cells via distinct adaptor signaling complexes	promotes	0.333	0.625	0.556	0.49	0.505	0.514	0.429	1	0.889	0.333	0.556	0.111	0.667
CD3G	ZAP70	Muller and Rao, 2008, NFAT, immunity and cancer: a transcription factor comes of age	promotes	1	0.875	0.556	0.571	0.615	0.7	0.514	0.111	0.556	0.556	0.222	0	1
CD8A	CD247	Wang et al, 2009, A Conserved CXXC Motif in CD3e Is Critical for T Cell Development and TCR Signaling	promotes	0.833	1	0.889	0.551	0.484	0.714	0.629	0.778	0.778	1	1	0.556	0
CD8A	CD3D	Wang et al, 2009, A Conserved CXXC Motif in CD3e Is Critical for T Cell Development and TCR Signaling	promotes	1	1	0.778	0.612	0.835	0.414	0.486	0.333	0.111	0.333	0.778	0.556	0.111
CD8A	CD3E	Wang et al, 2009, A Conserved CXXC Motif in CD3e Is Critical for T Cell Development and TCR Signaling	promotes	0.833	0.688	0.778	0.51	0.714	0.386	0.448	0.889	0.778	0.667	0.667	0.556	0.778
CD8A	CD3G	Wang et al, 2009, A Conserved CXXC Motif in CD3e Is Critical for T Cell Development and TCR Signaling	promotes	1	0.938	0.444	0.673	0.747	0.5	0.724	0.889	0.889	0.444	0.778	0.556	1
CD8A	DNMT3A	Gamper et al, 2009, Identification of DNA Methyltransferase 3a as a T Cell Receptor-Induced Regulator of Th1 and Th2 Differentiation	promotes	0.333	0.562	0.222	0.531	0.604	0.314	0.4	0.111	0.667	0.667	0.667	0.222	0.222
CD8A	LCK	Pollizzi and Powell, 2014, Integrating canonical and metabolic  signalling programmes in the regulation of T cell responses	promotes	0.833	1	0.667	0.592	0.582	0.471	0.41	0.111	0.111	1	1	0.556	0.444
CTLA4	AKT1	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.5	0.875	0.222	0.449	0.385	0.429	0.419	0	0	0	0	0	0
CTLA4	AKT2	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.833	0.625	0.556	0.51	0.484	0.614	0.6	0.444	0.889	0.556	0.778	1	0.889
CTLA4	AKT3	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.5	0.688	0.333	0.449	0.659	0.6	0.505	1	0.889	1	0.778	0.889	0.222
CTLA4	NFKB1	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.333	0.75	0.222	0.245	0.714	0.414	0.343	0.222	0	0	0	0	0
CTLA4	NFKB2	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.167	0.562	0.556	0	0	0	0	0.889	0.778	0.444	0.222	0	0.333
CTLA4	REL	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.167	0.75	0.222	0.429	0.473	0.743	0.486	0.778	0.778	0	0	0.111	0.222
CTLA4	RELA	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.5	0.562	0.333	0.673	0.725	0.843	0.762	0.667	0.556	1	1	1	0.778
CTLA4	RELB	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	inhibits	0.333	0.5	0.333	0.388	0.319	0.314	0.4	1	1	0.889	0.778	0.111	0.333
DNMT3A	DNMT3A	Youngblood et al, 2011, Chronic Virus Infection Enforces Demethylation of the Locus that Encodes PD-1 in Antigen-Specific CD8+ T Cells	inhibits	0	0.062	0	0.041	0.044	0	0.029	0	0	0	0	0	0
DNMT3A	TCF7	Ladle et al, 2016, De novo DNA methylation by DNA methyltransferase 3a controls early effector CD8+ T-cell fate decisions following activation. Scharer et al , 2013, Global DNA methylation remodeling accompanies CD8 T cell effector function	inhibits	0.333	0.438	0.556	0.408	0.516	0.414	0.438	0.778	0.333	0.333	0.333	0.333	0.222
DNMT3B	DNMT3A	Youngblood et al, 2011, Chronic Virus Infection Enforces Demethylation of the Locus that Encodes PD-1 in Antigen-Specific CD8+ T Cells	inhibits	0.333	0.75	0.444	0.551	0.67	0.586	0.6	0.333	0.111	0.667	0.667	0.667	0.778
DNMT3L	DNMT3A	Youngblood et al, 2011, Chronic Virus Infection Enforces Demethylation of the Locus that Encodes PD-1 in Antigen-Specific CD8+ T Cells	inhibits	1	0.5	0.556	0.653	0.626	0.643	0.61	1	0.889	0.778	0.889	0.778	1
EGR1	ID3	Bain et al, 2001, Regulation of the helixloophelix proteins, TCF3 and Id3, by the RasERK MAPK cascade	promotes	0.667	0.688	0.667	0.592	0.286	0.571	0.571	1	1	0.667	1	1	0.667
EGR1	IL2	Skerka et al, 1995, A Regulatory Element in the Human Interleukin 2 Gene PromoterIs a Binding Site for the Zinc Finger Proteins Sp1 and EGR1	promotes	0.667	0.688	0.778	0.469	0.264	0.557	0.562	0	0	0.667	0.889	0	0.333
EGR1	IL2RB	Lin et al, 1996, The ImmediateEarly Gene Product Egr1 Regulates the Human Interleukin2 Receptor bChain Promoter through Noncanonical Egr and Sp1 Binding Sites	promotes	0.5	0.875	0.111	0.633	0.286	0.429	0.505	0	0	0.667	0.889	0	0.333
EGR2	GZMB	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.667	0.938	0.222	0.633	0.352	0.343	0.495	1	1	0	0	0.778	1
EGR2	ID3	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	promotes	0.667	0.625	0.667	0.49	0.549	0.386	0.343	1	1	1	0.889	0.778	1
EGR2	IFNG	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.667	0.562	0.444	0.735	0.407	0.586	0.629	1	1	0	0	0.778	1
EGR2	LAG3	Martinez et al, 2015, The Transcription Factor NFAT Promotes Exhaustion of Activated CD8+ T Cells 	promotes	0.5	0.812	0.778	0.571	0.692	0.714	0.61	0	0	1	1	0.222	0
EGR2	MYC	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	promotes	0.833	0.938	0.778	0.714	0.571	0.657	0.695	1	1	1	1	0.111	0.667
EGR2	PRDM1	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.5	0.5	0.333	0	0	0	0	1	1	0	0.667	0.778	1
EGR2	TBX21	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.833	0.625	0.778	0.531	0.44	0.671	0.6	1	1	0	0	0.778	1
EGR2	TCF7	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	promotes	0.667	0.562	0.444	0.653	0.516	0.657	0.6	1	1	0	0	0.778	1
EGR2	ZEB2	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	promotes	0.833	0.625	0.444	0.612	0.67	0.4	0.505	0	0	1	1	0.222	0
EGR3	GZMB	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.667	0.75	0.333	0	0	0	0	1	1	0	0	1	1
EGR3	ID3	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	promotes	0.667	0.75	0.778	0	0	0	0	1	1	1	0.889	1	1
EGR3	IFNG	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.5	0.562	0.556	0	0	0	0	1	1	0	0	1	1
EGR3	MYC	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	promotes	0.833	0.625	0.667	0	0	0	0	1	1	1	1	0.333	0.667
EGR3	PRDM1	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.5	0.625	0.444	0	0	0	0	1	1	0	0.667	1	1
EGR3	TBX21	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.833	0.812	0.889	0	0	0	0	1	1	0	0	1	1
EGR3	TCF7	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	promotes	0.667	0.5	0.444	0	0	0	0	1	1	0	0	1	1
EGR3	ZEB2	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	promotes	0.833	0.812	0.333	0	0	0	0	0	0	1	1	0	0
Exhaustion	ZN	Singer et al, 2016, A Distinct Gene Module for Dysfunction Uncoupled from Activation in TumorInfiltrating T Cells	promotes	0	0	0	0	0	0	0	0	0	0	0	0	0
EZH2	DNMT3A	Vire et al, 2006, The Polycomb group protein EZH2 directly controls DNA methylation	promotes	0.667	0.875	0.667	0.49	0.484	0.343	0.333	0.778	0.333	0.333	0.333	0.333	0.222
EZH2	DNMT3B	Vire et al, 2006, The Polycomb group protein EZH2 directly controls DNA methylation	promotes	1	0.812	0.444	0.51	0.571	0.586	0.571	0.667	0.444	1	1	1	1
EZH2	DNMT3L	Vire et al, 2006, The Polycomb group protein EZH2 directly controls DNA methylation	promotes	1	0.75	0.111	0.755	0.593	0.714	0.705	1	1	1	1	1	1
FOS	IFNG	Lee et al, A Distal Enhancer in the Interferon-  (IFN- ) Locus Revealed by Genome Sequence Comparison	promotes	0.667	0.75	0.444	0.51	0.099	0.3	0.486	0	0	1	1	0.778	0.778
FOS	IL2	Martins and Calame, 2008, Regulation and Functions of PRDM1 in T and B Lymphocytes	promotes	0.5	0.75	0.222	0.469	0.198	0.671	0.495	0	0	1	1	0.778	0.778
FOS	IL2RB	Liao et al, 2013, Interleukin2 at the Crossroads of Effector Responses, Tolerance, and Immunotherapy	promotes	0.333	0.688	0.667	0.551	0.209	0.414	0.581	0	0	1	1	0.778	0.778
FOS	PDCD1	Bally et al, 2016, Genetic and Epigenetic Regulation of PDCD1 Expression 	promotes	0.333	0.625	0.556	0.51	0.099	0.271	0.457	0	0	1	1	0.778	0.778
FOS	PRDM1	Vasanwala et al,  Repression of AP-1 function: a mechanism for the regulation of Blimp-1 expression and B lymphocyte differentiation by the B cell lymphoma-6 protooncogene; Martins and Calame, 2008, Regulation and Functions of PRDM1 in T and B Lymphocytes	promotes	0.333	0.688	0.556	0	0	0	0	0	0	1	0.333	0.778	0.778
FOXO1	BCL6	Oestreich et al, 2012, Molecular mechanisms that control the expression and activity of Bcl-6 in TH1 cells to regulate flexibility with a TFH-like gene profile	promotes	0.833	0.688	0.556	0.571	0.374	0.629	0.59	0.667	0.889	0.667	0.333	0.778	0.667
FOXO1	EZH2	Gray et al, 2017, Polycomb Repressive Complex 2-Mediated Chromatin Repression Guides Effector CD8+ T Cell Terminal Differentiation and Loss of Multipotency	inhibits	0.833	0.812	0.444	0.49	0.626	0.657	0.505	1	1	1	1	1	1
FOXO1	PDCD1	Staron et al, The Transcription Factor FoxO1 Sustains Expression of the Inhibitory Receptor PD-1 and Survival of Antiviral CD8+ T Cells during Chronic Infection. Pauken and Wherry, 2015, Overcoming  T  cell  exhaustion  in infection  and  cancer	promotes	0.833	0.688	0.667	0.408	0.264	0.586	0.333	0	0	0	0	0	0
GATA3	BATF	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0.833	0.562	0.889	0	0	0	0	1	1	0.889	1	0.111	0.667
GATA3	MYC	Wang et al, 2013, GATA3 controls the maintenance and proliferation of T cells downstream of TCR and cytokine signaling	promotes	0.667	0.938	0.778	0	0	0	0	0	0	0.889	1	0.444	0.667
HIF1A	BATF	Karuchi et al, 2014, The transcription factor BATF operates as an essential differentiation checkpoint in early effector CD8+ T cells	promotes	0.833	0.625	0.556	0.327	0.374	0.357	0.429	0.222	0.333	1	1	0.778	0.333
HIF1A	MYC	Hough et al, 2015, Transcriptional regulation of T  cell  metabolism	promotes	0.667	0.812	0.667	0.633	0.505	0.657	0.552	0.778	0.667	1	1	0.444	0.333
HRAS	MAPK1	Chen et al, 2000, The p38 Pathway Provides Negative Feedback for Ras Proliferative Signalings	promotes	0	0.938	0.333	0.469	0.462	0.514	0.419	0.667	0.778	0.889	0.667	0.889	0.889
HRAS	MAPK3	Chen et al, 2000, The p38 Pathway Provides Negative Feedback for Ras Proliferative Signalings	promotes	0	0.875	0.556	0.449	0.615	0.443	0.571	0.778	0.667	1	0.778	1	1
HRAS	MAPK8	Chen et al, 2000, The p38 Pathway Provides Negative Feedback for Ras Proliferative Signalings	promotes	0	0.688	0.556	0.755	0.462	0.743	0.61	0.333	0.444	0.333	0.222	0	0
ICOS	MAF	Chen & Flies, 2013, Molecular mechanisms of T cell co-stimulation and co-inhibition	promotes	0.833	0.938	0.778	0.245	0.582	0.429	0.371	1	1	1	1	0.111	0.333
ID2	TCF3	Leong et al, 2016, CXCR5+ follicular cytotoxic T cells control viral infection in B cell follicles	inhibits	0.833	0.625	0	0.49	0.549	0.614	0.714	0.111	0.111	0.556	0.444	1	0.889
ID3	TCF3	Leong et al, 2016, CXCR5+ follicular cytotoxic T cells control viral infection in B cell follicles	inhibits	0.5	0.75	0.667	0.51	0.571	0.557	0.524	0.889	0.889	0.556	0.444	0	0.222
IFNAR1	BCL6	Nakayamada et al, 2014, Type I IFN induces binding of STAT1 to Bcl6: divergent roles of STAT family transcription factors in the T follicular helper cell genetic program Zhou et al, 2005, Induction of BCL6 gene expression by interferongamma and identification of an IRE in exon	promotes	0.667	0.75	0.667	0.551	0.33	0.443	0.638	0.556	0.444	0.667	0.333	0.778	0.667
IFNAR1	MT1	Friedman et al, Transcriptional and Posttranscriptional Regulation of Interferon-Induced Gene Expression in Human Cells	promotes	0.667	0.875	0	0	0	0	0	0.556	0.444	0	0	0	0
IFNAR1	MT2	Friedman et al, Transcriptional and Posttranscriptional Regulation of Interferon-Induced Gene Expression in Human Cells	promotes	0.833	0.938	0	0	0	0	0	0.556	0.444	0	0	0	0.111
IFNAR1	PDCD1	Bally et al, Genetic and Epigenetic Regulation of PD-1 Expression	promotes	0.833	1	0.556	0.429	0.308	0.414	0.41	0.556	0.444	0	0	0	0
IFNAR1	PIK3CA	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.667	0.812	0.778	0.571	0.659	0.586	0.59	0.667	0.667	1	0.889	0.778	0.889
IFNAR1	PIK3CB	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0	0	0.556	0.633	0.462	0.6	0.571	0.444	0.778	0.889	0.444	0.222	0.333
IFNAR1	PIK3CG	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.667	0.812	0.556	0.551	0.451	0.443	0.457	0.556	0.667	0.222	0	0	0
IFNAR1	PRKCQ	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.5	0.875	0.778	0.347	0.418	0.386	0.429	0.889	0.556	1	1	1	1
IFNAR1	STAT1	Au-Yeung et al, Transcriptional regulation by STAT1 and STAT2 in the interferon JAK-STAT pathway	promotes	0.5	0.875	0.667	0.51	0.352	0.486	0.429	0.444	0.556	1	1	0.111	1
IFNAR1	STAT4	Ramos et al, IFN-a  Is Not Sufficient to Drive Th1 Development Due to Lack of Stable T-bet Expression	promotes	0.667	0.812	0.667	0.469	0.67	0.514	0.552	0.556	0.444	0.111	0.111	0	0.222
IFNAR2	BCL6	Nakayamada et al, 2014, Type I IFN induces binding of STAT1 to Bcl6: divergent roles of STAT family transcription factors in the T follicular helper cell genetic program Zhou et al, 2005, Induction of BCL6 gene expression by interferongamma and identification of an IRE in exon	promotes	0.833	0.688	0.444	0.551	0.44	0.543	0.581	0.333	0.111	0.444	0.667	0.222	0.556
IFNAR2	MT1	Friedman et al, Transcriptional and Posttranscriptional Regulation of Interferon-Induced Gene Expression in Human Cells	promotes	0.5	0.75	0	0	0	0	0	1	1	0.889	1	1	0.778
IFNAR2	MT2	Friedman et al, Transcriptional and Posttranscriptional Regulation of Interferon-Induced Gene Expression in Human Cells	promotes	0.667	0.75	0	0	0	0	0	1	1	0.889	1	1	0.667
IFNAR2	PDCD1	Bally et al, Genetic and Epigenetic Regulation of PD-1 Expression	promotes	0.667	0.562	0.333	0.388	0.495	0.657	0.505	1	1	0.889	1	1	0.778
IFNAR2	PIK3CA	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.5	0.688	0.556	0.449	0.451	0.414	0.543	0.222	0.333	0.111	0.111	0.222	0.111
IFNAR2	PIK3CB	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.5	0	0.556	0.551	0.549	0.529	0.438	0	0.444	0.222	0.667	0.778	0.444
IFNAR2	PIK3CG	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.667	0.688	0.556	0.51	0.418	0.571	0.6	1	0.778	0.778	1	1	0.778
IFNAR2	PRKCQ	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.833	0.812	0.333	0.571	0.484	0.471	0.524	0.667	0	0.111	0	0	0.222
IFNAR2	STAT1	Au-Yeung et al, Transcriptional regulation by STAT1 and STAT2 in the interferon JAK-STAT pathway	promotes	0.833	0.75	0.444	0.551	0.538	0.529	0.495	0	0	0.111	0	0.889	0.222
IFNAR2	STAT4	Ramos et al, IFN-a  Is Not Sufficient to Drive Th1 Development Due to Lack of Stable T-bet Expression	promotes	1	0.562	0.444	0.571	0.44	0.414	0.505	1	1	0.778	1	1	0.556
IFNG	EGR2	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.667	0.562	0.444	0.735	0.407	0.586	0.629	1	1	0	0	0.778	1
IFNG	EGR3	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.5	0.562	0.556	0	0	0	0	1	1	0	0	1	1
IFNG	MT1	Friedman et al, Transcriptional and Posttranscriptional Regulation of Interferon-Induced Gene Expression in Human Cells	promotes	0.833	0.688	0	0	0	0	0	1	1	1	1	1	1
IFNG	MT2	Friedman et al, Transcriptional and Posttranscriptional Regulation of Interferon-Induced Gene Expression in Human Cells	promotes	0.833	0.875	0	0	0	0	0	1	1	1	1	1	0.889
IFNG	PIK3CA	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.833	0.688	0.667	0.551	0.352	0.529	0.552	0.222	0.333	0	0.111	0.222	0.111
IFNG	PIK3CB	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.667	0	0.444	0.531	0.549	0.614	0.61	0	0.444	0.111	0.667	0.778	0.667
IFNG	PIK3CG	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.667	0.75	0.444	0.653	0.527	0.486	0.59	1	0.778	0.889	1	1	1
IFNG	PRKCQ	Platanias, MECHANISMS OF TYPE-1 AND TYPE-2 INTERFERON-MEDIATED SIGNALLING	promotes	0.5	0.875	0.667	0.469	0.451	0.529	0.486	0.667	0	0	0	0	0
IFNG	SLC2A1	Schurich et al, 2016, Distinct Metabolic Requirements of Exhausted and Functional Virus-Specific CD8 T Cells in the Same Host	inhibits	0.833	0.812	0.222	0.347	0.363	0.386	0.429	0	0	0.333	0.556	1	0.889
IFNG	SLC2A2	Schurich et al, 2016, Distinct Metabolic Requirements of Exhausted and Functional Virus-Specific CD8 T Cells in the Same Host	inhibits	1	0.938	0.667	0.388	0.418	0.414	0.352	1	0.778	0.222	0.556	1	0.333
IFNG	SLC2A3	Schurich et al, 2016, Distinct Metabolic Requirements of Exhausted and Functional Virus-Specific CD8 T Cells in the Same Host	inhibits	0.667	0.562	0.333	0.327	0.835	0.443	0.495	0	0	1	1	1	0.333
IFNG	SLC2A4	Schurich et al, 2016, Distinct Metabolic Requirements of Exhausted and Functional Virus-Specific CD8 T Cells in the Same Host	inhibits	0.833	0.562	0.778	0.571	0.451	0.714	0.59	0	0	1	1	0.667	0.667
IFNG	SLC2A5	Schurich et al, 2016, Distinct Metabolic Requirements of Exhausted and Functional Virus-Specific CD8 T Cells in the Same Host	inhibits	1	0.562	0.889	0.612	0.22	0.329	0.476	1	1	1	1	0.667	0.667
IFNG	STAT1	Radaeva et al, Interferon-? inhibits interferon-a signalling in hepatic cells: evidence for the involvement of STAT1 induction and hyperexpression of STAT1 in chronic hepatitis C	inhibits	0.833	0.812	0.222	0.551	0.407	0.6	0.514	1	1	1	1	0.111	1
IFNG	STAT2	Radaeva et al, Interferon-? inhibits interferon-a signalling in hepatic cells: evidence for the involvement of STAT1 induction and hyperexpression of STAT1 in chronic hepatitis C	inhibits	0.667	0.875	0.222	0.245	0.275	0.371	0.371	0.667	0.778	1	0.889	0	1
IFNGR1	EGR2	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.667	0.375	0.667	0.388	0.44	0.514	0.4	1	1	0.222	0	0.778	1
IFNGR1	EGR3	Miao et al, 2017, Egr2 and 3 control adaptive immune responses by temporally uncoupling expansion from T cell differentiation	inhibits	0.667	0.812	0.444	0	0	0	0	1	1	0.222	0	1	1
IFNGR1	MT2	Friedman et al, Transcriptional and Posttranscriptional Regulation of Interferon-Induced Gene Expression in Human Cells	promotes	1	0.75	0	0	0	0	0	1	1	0.778	1	1	0.889
